superClass,superClassLabel,class,classLabel
http://purl.obolibrary.org/BIO/BIO_0000662,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000663,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant 350-5800BC
http://purl.obolibrary.org/BIO/BIO_0000633,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-High Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001692,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-High Profile xtra Breast Implant THPX405
http://purl.obolibrary.org/BIO/BIO_0000707,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001334,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant 350-7001BC
http://purl.obolibrary.org/BIO/BIO_0000701,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001088,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant 354-1501
http://purl.obolibrary.org/BIO/BIO_0000685,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate classic Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001378,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate classic Profile Breast Implant 354-2757MC
http://purl.obolibrary.org/BIO/BIO_0000644,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001043,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile xtra Breast Implant SMPX560
http://purl.obolibrary.org/BIO/BIO_0000636,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001981,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant TMPX190
http://purl.obolibrary.org/BIO/BIO_0000692,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate classic Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001745,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate classic Profile Breast Implant 350-7190MC
http://purl.obolibrary.org/BIO/BIO_0000636,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001979,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant TMPX350
http://purl.obolibrary.org/BIO/BIO_0000685,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate classic Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000688,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate classic Profile Breast Implant 354-4707MC
